教师,期刊/会议,类型,论文数,总引用
孙波,Communications in computer and information science,book series,2,9
孙波,The Visual Computer,journal,2,5
孙波,Micromachines,journal,2,4
孙波,"2022 IEEE 10th International Conference on Information, Communication and Networks (ICICN)",conference,2,1
孙波,2021 8th International Conference on Dependable Systems and Their Applications (DSA),conference,2,2
孙波,Journal on Multimodal User Interfaces,journal,2,58
孙波,"Lecture notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",journal,2,1
孙波,Signal Processing Image Communication,journal,2,65
孙波,Journal of Social Science of Jiamusi University,journal,2,0
孙波,bioRxiv (Cold Spring Harbor Laboratory),repository,1,0
孙波,Journal of the Franklin Institute,journal,1,1
孙波,Inorganic Chemistry,journal,1,4
孙波,Applied Thermal Engineering,journal,1,0
孙波,The Journal of Supercomputing,journal,1,0
孙波,Polymers,journal,1,1
孙波,Journal of Marine Science and Engineering,journal,1,3
孙波,Chemical Engineering Journal,journal,1,10
孙波,Mathematics,journal,1,6
孙波,Energy,journal,1,6
孙波,arXiv (Cornell University),repository,1,0
孙波,Sustainability,journal,1,2
孙波,Angewandte Chemie International Edition,journal,1,19
孙波,Cognitive Computation,journal,1,1
孙波,Art and Performance Letters,journal,1,1
孙波,Journal of Theory and Practice of Humanities Science,journal,1,2
孙波,SOCIETY INTEGRATION EDUCATION Proceedings of the International Scientific Conference,journal,1,3
孙波,IEEE Transactions on Human-Machine Systems,journal,1,1
孙波,Journal of Catalysis,journal,1,28
孙波,Journal of The Electrochemical Society,journal,1,6
孙波,AIP Advances,journal,1,3
孙波,International Journal of Pattern Recognition and Artificial Intelligence,journal,1,2
孙波,Applied Intelligence,journal,1,13
孙波,CICTP 2021,conference,1,1
孙波,2021 IEEE 23rd Electronics Packaging Technology Conference (EPTC),conference,1,0
孙波,2021 IEEE 33rd International Conference on Tools with Artificial Intelligence (ICTAI),conference,1,2
孙波,Journal of Information Technology Research,journal,1,1
孙波,2021 2nd International Conference on E-Commerce and Internet Technology (ECIT),conference,1,6
孙波,IET Image Processing,journal,1,4
孙波,Journal of Computing and Information Technology,journal,1,0
孙波,IEEE Transactions on Affective Computing,journal,1,114
孙波,IEEE Transactions on Industrial Informatics,journal,1,229
孙波,Applied Physics A,journal,1,16
孙波,Journal of Visual Communication and Image Representation,journal,1,13
孙波,KSII Transactions on Internet and Information Systems,journal,1,9
孙波,Journal of Bioinformatics and Computational Biology,journal,1,5
孙波,Applied Optics,journal,1,3
孙波,International Journal of Wireless Information Networks,journal,1,7
孙波,Neurocomputing,journal,1,33
孙波,Computer Methods and Programs in Biomedicine,journal,1,10
孙波,Lecture notes in electrical engineering,book series,1,0
孙波,Wireless Communications and Mobile Computing,journal,1,2
孙波,Procedia Computer Science,journal,1,0
孙波,Neural Networks,journal,1,46
孙波,AGUFM,journal,1,1
孙波,Interactive Learning Environments,journal,1,9
孙波,Open Scholarship Institutional Repository (Washington University in St. Louis),repository,1,0
孙波,Journal of Sensors,journal,1,2
孙波,IIKI,journal,1,0
孙波,Journal of Applied Remote Sensing,journal,1,0
孙波,Journal of Medical Systems,journal,1,18
孙波,IEEE Journal of Oceanic Engineering,journal,1,23
孙波,"ICIC express letters. Part B, Applications",journal,1,0
孙波,"Advances in media, entertainment and the arts (AMEA) book series",book series,1,0
孙波,International Journal of Signal Processing Image Processing and Pattern Recognition,journal,1,1
孙波,China Communications,journal,1,46
孙波,Advanced materials research,journal,1,2
孙波,Information Engineering Letters,journal,1,1
孙波,International Conference on Multimedia Information Networking and Security,conference,1,0
孙波,International Symposium on Computational Intelligence and Design,conference,1,0
孙波,Medical Entomology and Zoology,journal,1,0
孙波,Communications and Network,journal,1,1
孙波,Applied Mechanics and Materials,journal,1,0
孙波,IC3T '12 Proceedings of the 2012 International Conference on Convergence Computer Technology,conference,1,0
孙波,Science and Technology Information,journal,1,0
孙波,Journal of Liaocheng University,journal,1,0
孙波,Shandong Sports Science & Technology,journal,1,0
孙波,Journal of Shandong Institute of Physical Education and Sports,journal,1,0
孙波,International Journal of Computer Applications in Technology,journal,1,5
